"gs_name","gene_symbol"
"HP_PERIPORTAL_FIBROSIS","BCS1L"
"HP_PERIPORTAL_FIBROSIS","DGUOK"
"HP_PERIPORTAL_FIBROSIS","DZIP1L"
"HP_PERIPORTAL_FIBROSIS","LIPA"
"HP_PERIPORTAL_FIBROSIS","MPV17"
"HP_PERIPORTAL_FIBROSIS","PKHD1"
"HP_PERIPORTAL_FIBROSIS","SLC51A"
"HP_PERIPORTAL_FIBROSIS","SLC51B"
"HP_PORTAL_FIBROSIS","ABCB4"
"HP_PORTAL_FIBROSIS","ABCD3"
"HP_PORTAL_FIBROSIS","ADK"
"HP_PORTAL_FIBROSIS","ARG1"
"HP_PORTAL_FIBROSIS","ATP7B"
"HP_PORTAL_FIBROSIS","CC2D2A"
"HP_PORTAL_FIBROSIS","CEP83"
"HP_PORTAL_FIBROSIS","DCDC2"
"HP_PORTAL_FIBROSIS","MYO5B"
"HP_PORTAL_FIBROSIS","PHKA2"
"HP_PORTAL_FIBROSIS","PHKG2"
"HP_PORTAL_FIBROSIS","PYGL"
"HP_PORTAL_FIBROSIS","RPGRIP1L"
"HP_PORTAL_FIBROSIS","SLC25A13"
"HP_PORTAL_FIBROSIS","UNC45A"
"HP_PORTAL_FIBROSIS","WDR35"
"HP_PULMONARY_FIBROSIS","ABCA3"
"HP_PULMONARY_FIBROSIS","AP3B1"
"HP_PULMONARY_FIBROSIS","ATP11A"
"HP_PULMONARY_FIBROSIS","BACH2"
"HP_PULMONARY_FIBROSIS","BMP15"
"HP_PULMONARY_FIBROSIS","BNC1"
"HP_PULMONARY_FIBROSIS","BTNL2"
"HP_PULMONARY_FIBROSIS","CASP10"
"HP_PULMONARY_FIBROSIS","CAV1"
"HP_PULMONARY_FIBROSIS","CCN2"
"HP_PULMONARY_FIBROSIS","CCR6"
"HP_PULMONARY_FIBROSIS","CTC1"
"HP_PULMONARY_FIBROSIS","CTLA4"
"HP_PULMONARY_FIBROSIS","CYBC1"
"HP_PULMONARY_FIBROSIS","DKC1"
"HP_PULMONARY_FIBROSIS","DPP9"
"HP_PULMONARY_FIBROSIS","DSP"
"HP_PULMONARY_FIBROSIS","EHHADH"
"HP_PULMONARY_FIBROSIS","FAM111B"
"HP_PULMONARY_FIBROSIS","FAM13A"
"HP_PULMONARY_FIBROSIS","FAS"
"HP_PULMONARY_FIBROSIS","FASLG"
"HP_PULMONARY_FIBROSIS","FIGLA"
"HP_PULMONARY_FIBROSIS","FSHR"
"HP_PULMONARY_FIBROSIS","GATM"
"HP_PULMONARY_FIBROSIS","GBA1"
"HP_PULMONARY_FIBROSIS","HLA-B"
"HP_PULMONARY_FIBROSIS","HLA-DPA1"
"HP_PULMONARY_FIBROSIS","HLA-DPB1"
"HP_PULMONARY_FIBROSIS","HLA-DRB1"
"HP_PULMONARY_FIBROSIS","HPS1"
"HP_PULMONARY_FIBROSIS","HPS4"
