held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE213001
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE213001
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE213001
mean,0.7361111111111112,,,,,74,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE213001
GSE184316,0.5,0.0,1.0,,0.95,16,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE213001
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE213001
mean,0.7361111111111112,,,,,74,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE213001
GSE73189,0.5,0.0,1.0,,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE213001
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE213001
GSE184316,0.5,0.0,1.0,,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE213001
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE213001
mean,0.5,,,,,74,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE213001
GSE73189,0.6,1.0,0.2,0.5,0.7,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE213001
GSE184316,0.9,0.8,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE213001
mean,0.8680555555555556,,,,,74,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE213001
GSE184316,0.7,0.4,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE213001
mean,0.7930555555555556,,,,,74,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE213001
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE213001
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE213001
mean,0.7361111111111112,,,,,74,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE213001
