held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE73189
mean,0.5,,,,,166,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE73189
mean,0.9898504273504274,,,,,166,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE73189
GSE199949,1.0,1.0,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE73189
mean,0.9967948717948718,,,,,166,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE73189
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE73189
mean,0.9967948717948718,,,,,166,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE73189
mean,0.9930555555555556,,,,,166,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE73189
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE213001
GSE184316,0.95,0.9,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE213001
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE213001
mean,0.7375,,,,,74,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.75,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE213001
GSE184316,0.95,0.9,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE213001
mean,0.8555555555555556,,,,,74,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.8,9,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE213001
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE213001
mean,0.8555555555555556,,,,,74,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.75,9,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE213001
mean,0.8680555555555556,,,,,74,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE213001
GSE73189,0.6,1.0,0.2,0.5,0.8,9,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE213001
GSE138239,0.9545454545454546,0.9090909090909091,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE213001
mean,0.8816919191919192,,,,,74,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE213001
GSE73189,0.5,0.0,1.0,,0.5,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE213001
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE213001
GSE184316,0.5,0.0,1.0,,0.5,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE213001
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE213001
mean,0.5,,,,,74,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.75,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE213001
mean,0.8680555555555556,,,,,74,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.85,9,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE213001
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE213001
mean,0.8555555555555556,,,,,74,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.8,9,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE213001
mean,0.8680555555555556,,,,,74,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE213001
GSE73189,0.6,1.0,0.2,0.5,0.8,9,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE213001
GSE138239,0.9545454545454546,0.9090909090909091,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE213001
mean,0.8816919191919192,,,,,74,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE213001
GSE73189,0.5,0.0,1.0,,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE213001
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE213001
GSE184316,0.5,0.0,1.0,,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE213001
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE213001
mean,0.5,,,,,74,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE213001
mean,0.8680555555555556,,,,,74,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.85,9,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE213001
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE213001
mean,0.8555555555555556,,,,,74,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.85,9,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE213001
GSE184316,0.9,0.8,1.0,1.0,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE213001
mean,0.8430555555555556,,,,,74,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.8,9,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE213001
GSE138239,0.9545454545454546,0.9090909090909091,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE213001
GSE184316,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE213001
mean,0.8358585858585859,,,,,74,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE213001
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE138239
GSE213001,0.979114971050455,0.9838709677419355,0.9743589743589743,0.9838709677419355,0.998759305210918,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE138239
GSE184316,0.9,0.8,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE138239
mean,0.8878342983181693,,,,,160,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE138239
GSE184316,0.9,0.8,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE138239
mean,0.8930555555555556,,,,,160,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE138239
mean,0.9055555555555556,,,,,160,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE138239
mean,0.9125,,,,,160,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE138239
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE138239
mean,0.9217948717948719,,,,,160,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.65,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE138239
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE138239
mean,0.7430555555555556,,,,,160,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE138239
mean,0.9055555555555556,,,,,160,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE138239
mean,0.9055555555555556,,,,,160,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE138239
mean,0.9125,,,,,160,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE138239
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,0.999586435070306,101,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE138239
mean,0.9217948717948719,,,,,160,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE138239
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE138239
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE138239
GSE184316,0.5,1.0,0.0,0.625,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE138239
GSE199949,0.5,0.0,1.0,,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE138239
mean,0.5,,,,,160,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE138239
mean,0.9180555555555556,,,,,160,0.1,0.75,"C=0.1, l1_ratio=0.75",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE138239
mean,0.9055555555555556,,,,,160,1.0,0.75,"C=1, l1_ratio=0.75",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE138239
mean,0.875,,,,,160,10.0,0.75,"C=10, l1_ratio=0.75",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE138239
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,0.999586435070306,101,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE138239
GSE184316,0.95,0.9,1.0,1.0,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE138239
mean,0.9092948717948718,,,,,160,100.0,0.75,"C=100, l1_ratio=0.75",top_25,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE184316
mean,0.9148504273504274,,,,,159,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE184316
mean,0.9111111111111112,,,,,159,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE184316
GSE199949,0.9166666666666667,0.8333333333333334,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE184316
mean,0.9041666666666668,,,,,159,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE184316
mean,0.9180555555555556,,,,,159,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE184316
mean,0.9148504273504274,,,,,159,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE184316
GSE73189,0.6,1.0,0.2,0.5,0.75,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE184316
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE184316
mean,0.7680555555555556,,,,,159,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE184316
mean,0.9180555555555556,,,,,159,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE184316
GSE199949,0.9166666666666667,0.8333333333333334,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE184316
mean,0.9041666666666668,,,,,159,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE184316
GSE73189,0.6,1.0,0.2,0.5,0.75,9,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE184316
mean,0.8930555555555556,,,,,159,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE184316
